"id","ratedate","ratecontent","color","size","platform","color_info","size_num","size_letter"
1,"2018-11-07 22:46:20",这款我很喜欢，质地样式都比另一件好很多。一直穿欧迪芬的内衣，之前一直商场买，,XJ7305-有钢圈-风悦灰,"34B/75B",京东,灰色,"75",B
2,"2018-06-12 20:06:30",在这家买了两件，钢圈比较尖锐正好对到胸口那个位置，很难受，肩带也不合理。需要买的亲们可以考虑下  卖家服务可以,粉灰,"40B/90B",京东,灰色,"90",B
3,"2018-11-09 23:37:00",还没穿，看着做工不错，活动价格美丽，一次三件，这件罩杯是薄款。,XJ7305-有钢圈-风悦灰,"36B/80B",京东,灰色,"80",B
4,"2018-11-06 10:51:55",颜色漂亮，穿着很漂亮，我很喜欢的一款内衣，很性感,XJ7305-有钢圈-风悦灰,"36B/80B",京东,灰色,"80",B
5,"2018-11-11 14:52:49",内衣收到啦，试穿啦一下很舒服，合身，主要是款式很好看，很喜欢呢,XJ7305-有钢圈-风悦灰,"36B/80B",京东,灰色,"80",B
6,"2018-11-12 07:48:52",内衣款式好看，尺码也标准穿起来蛮好看的，胸型也好看了,XJ7305-有钢圈-风悦灰,"36B/80B",京东,灰色,"80",B
7,"2018-11-12 09:34:07",面料、做工都非常好，尺寸合适戴着舒服效果很好。,XJ7305-有钢圈-风悦灰,"36B/80B",京东,灰色,"80",B
8,"2018-10-29 21:27:28",最舒服的一款（哦，对中老年来说?），不错。打算买其他几个颜色。就是物流比较慢?,XJ7305-有钢圈-棕色,"34B/75B",京东,棕色,"75",B
9,"2018-11-12 12:10:04",穿上舒服，大小刚刚好，谢谢老板的推荐。,XJ7305-有钢圈-风悦灰,"36B/80B",京东,灰色,"80",B
10,"2018-11-12 08:15:15",很合适，不大不小，特别挺，老公很喜欢。,XJ7305-有钢圈-风悦灰,"36B/80B",京东,灰色,"80",B
11,"2018-08-15 22:58:56",料子很好，软绵绵的，穿起来也很舒服 ，好评一枚O(&cap;_&cap;)O,肤色,"80C",京东,肤色,"80",C
12,"2018-08-15 22:57:25",料子很好，软绵绵的，穿起来也很舒服 ，好评一枚O(&cap;_&cap;)O,粉色,"80C",京东,粉色,"80",C
13,"2018-07-03 22:02:45",很好很好，穿着舒服。第一次买这个牌子的，比实体店的便宜。会考虑回购的。,肤色,"70A",京东,肤色,"70",A
14,"2018-09-30 22:23:53",包装很好，物流很快，与描述相符，服务态度很好。上次买三件，穿着好舒服，这次又买了三件，下雨天，够换洗。都市丽人无钢圈内衣就是好质量，好喜欢。,肤色,"85C",京东,肤色,"85",C
15,"2018-07-21 17:02:46",感觉挺好的，穿着试了一下，舒服,肤色,"85C",京东,肤色,"85",C
16,"2018-10-07 07:54:55",买了三种颜色的bra。换着穿,黑色,"75B",京东,黑色,"75",B
17,"2017-10-16 17:27:04",面料有点硬手，穿起来很不舒服?,肤色,"80C",京东,肤色,"80",C
18,"2018-09-17 23:00:39",包装很好，物流很快，服务态度很好。一次买3件，无钢圈，穿着很舒服。,粉色,"85C",京东,粉色,"85",C
19,"2017-03-13 07:57:20",中模杯，不是那种上薄下厚的模杯，可能是我没看清楚，或者商家的胸罩做的有问题，并不适合小胸MM，买了三套，满三免1，一直都穿75B的，买其他家的75B的都能穿，但是它家的这三套都不能穿。,粉色,"75B",京东,粉色,"75",B
20,"2017-06-19 14:45:42",收到有半个月了，早上购买下午到货，快递挺快，忘记评价，第二次买，搞活动买的，商家送了胸带，谢谢商家,粉色,"70B",京东,粉色,"70",B
21,"2018-06-25 10:37:49",宝贝收到了，质量很好，也很漂亮，试戴了一下很舒服，不紧绷。一直在用都市丽人的，挺好。,粉色,"80B",京东,粉色,"80",B
22,"2018-09-23 09:59:06",黑色会显瘦一些，粉色黑色都好看。果断要了俩！可以替换穿,黑色,"85C",京东,黑色,"85",C
23,"2016-06-20 21:09:06",很薄，比实体店便宜，都市丽人名字改了，好多人质疑是不是正品，我和实体店买的对比了下，是一样的，除了款式不同而已，，本来看描述，以为是厚的，就是上薄下厚的那种聚拢型的，买回来才知道，太薄了，不太聚拢，我说怎么那么便宜，摸着很舒服，就是看着蕾丝有点廉价，其他还行,粉色,"75B",京东,粉色,"75",B
24,"2018-07-15 21:43:20",一下子买了三件，买三免一，觉得太值了，质量一样好,粉色,"80B",京东,粉色,"80",B
25,"2018-09-05 20:18:02","值得美眉们购买哦！  
下次还要光顾
卖家在送一个小小礼物?，更值得信赖",粉色,"80B",京东,粉色,"80",B
26,"2018-06-22 17:27:45",这次618活动，一共买了六件内衣，活动力度相当大，买了六件内衣折上折结算187元，这款买了两了两件是薄杯的手感不怎么好，有点硬，性价比不怎么高聚拢效果一般,黑色,"75A",京东,黑色,"75",A
27,"2018-07-14 19:22:16",很棒，质量很好，活动时买的，一起买了3，还减了20元，合起来一件50多，真划算,粉色,"75B",京东,粉色,"75",B
28,"2018-10-18 21:22:22",大小合适，穿着很舒服，很喜欢，赶上活动，很划算，,肤色,"85B",京东,肤色,"85",B
